Best: iteration: 14, time: 17.0345, start node: V0, cost non-opt: 8072, opt: -1
Nodes (name, car in, car out, arc cost, car return cost, passengers, passPrice): 
V0 C- C2 20 0 
V163 C1 C1 6 0 
V250 C1 C1 15 0 
V198 C1 C1 35 0 
V266 C1 C0 2 12 
V48 C0 C0 2 0 
V186 C0 C0 2 0 
V25 C0 C0 2 0 
V205 C0 C0 2 0 
V296 C0 C0 13 0 
V62 C0 C0 12 0 
V159 C0 C0 2 0 
V261 C0 C0 3 0 
V41 C0 C0 22 0 
V268 C0 C0 32 0 
V286 C0 C0 33 0 
V76 C0 C0 10 0 
V113 C0 C0 2 0 
V270 C0 C0 2 0 
V112 C0 C0 2 0 
V12 C0 C0 2 0 
V210 C0 C0 2 0 
V134 C0 C0 8 0 
V182 C0 C0 4 0 
V289 C0 C0 4 0 
V109 C0 C0 4 0 
V161 C0 C0 2 0 
V258 C0 C0 2 0 
V111 C0 C0 3 0 
V130 C0 C0 2 0 
V202 C0 C0 4 0 
V185 C0 C0 14 0 
V155 C0 C0 17 0 
V58 C0 C0 10 0 
V53 C0 C0 18 0 
V22 C0 C0 18 0 
V226 C0 C0 15 0 
V222 C0 C0 17 0 
V207 C0 C0 24 0 
V133 C0 C0 7 0 
V203 C0 C0 6 0 
V217 C0 C0 21 0 
V252 C0 C0 23 0 
V131 C0 C0 16 0 
V64 C0 C0 8 0 
V201 C0 C0 6 0 
V85 C0 C0 10 0 
V3 C0 C0 10 0 
V29 C0 C0 6 0 
V96 C0 C0 7 0 
V148 C0 C0 9 0 
V27 C0 C0 28 0 
V174 C0 C0 30 0 
V219 C0 C0 29 0 
V216 C0 C0 27 0 
V214 C0 C0 40 0 
V11 C0 C0 17 0 
V137 C0 C0 12 0 
V108 C0 C0 20 0 
V299 C0 C0 19 0 
V15 C0 C0 5 0 
V57 C0 C0 5 0 
V84 C0 C0 8 0 
V14 C0 C0 30 0 
V280 C0 C0 33 0 
V257 C0 C0 20 0 
V100 C0 C0 37 0 
V127 C0 C0 27 0 
V225 C0 C0 23 0 
V95 C0 C0 28 0 
V267 C0 C0 15 0 
V297 C0 C0 14 0 
V295 C0 C0 27 0 
V78 C0 C0 18 0 
V272 C0 C0 20 0 
V35 C0 C0 23 0 
V298 C0 C0 22 0 
V156 C0 C0 30 0 
V34 C0 C0 46 0 
V260 C0 C0 44 0 
V7 C0 C0 15 0 
V167 C0 C0 15 0 
V209 C0 C0 19 0 
V102 C0 C0 15 0 
V240 C0 C0 15 0 
V51 C0 C0 29 0 
V6 C0 C0 27 0 
V253 C0 C0 22 0 
V115 C0 C0 16 0 
V47 C0 C0 28 0 
V277 C0 C0 31 0 
V158 C0 C0 30 0 
V118 C0 C0 48 0 
V152 C0 C0 43 0 
V160 C0 C0 22 0 
V228 C0 C0 25 0 
V83 C0 C0 34 0 
V120 C0 C0 29 0 
V71 C0 C0 26 0 
V128 C0 C0 23 0 
V249 C0 C0 20 0 
V44 C0 C0 23 0 
V123 C0 C0 27 0 
V42 C0 C0 31 0 
V2 C0 C0 30 0 
V140 C0 C0 30 0 
V206 C0 C0 31 0 
V103 C0 C0 29 0 
V287 C0 C0 27 0 
V145 C0 C0 17 0 
V150 C0 C0 16 0 
V144 C0 C0 17 0 
V175 C0 C0 21 0 
V129 C0 C0 20 0 
V208 C0 C0 18 0 
V28 C0 C0 22 0 
V114 C0 C0 25 0 
V17 C0 C0 41 0 
V104 C0 C0 26 0 
V119 C0 C0 25 0 
V21 C0 C0 22 0 
V256 C0 C0 23 0 
V40 C0 C0 28 0 
V279 C0 C0 24 0 
V50 C0 C0 23 0 
V151 C0 C0 44 0 
V169 C0 C0 43 0 
V60 C0 C0 19 0 
V136 C0 C0 17 0 
V37 C0 C0 15 0 
V63 C0 C0 25 0 
V184 C0 C0 29 0 
V238 C0 C0 25 0 
V153 C0 C0 19 0 
V19 C0 C0 35 0 
V135 C0 C0 29 0 
V285 C0 C0 24 0 
V271 C0 C0 29 0 
V164 C0 C0 34 0 
V242 C0 C0 34 0 
V54 C0 C0 23 0 
V236 C0 C0 28 0 
V52 C0 C0 28 0 
V66 C0 C0 27 0 
V254 C0 C0 29 0 
V141 C0 C0 42 0 
V233 C0 C0 29 0 
V251 C0 C0 26 0 
V218 C0 C0 30 0 
V157 C0 C0 33 0 
V199 C0 C0 36 0 
V263 C0 C0 25 0 
V273 C0 C0 22 0 
V110 C0 C0 28 0 
V293 C0 C0 34 0 
V72 C0 C0 33 0 
V282 C0 C0 37 0 
V97 C0 C0 45 0 
V281 C0 C0 36 0 
V237 C0 C0 32 0 
V20 C0 C0 35 0 
V269 C0 C0 45 0 
V91 C0 C0 55 0 
V81 C0 C0 52 0 
V154 C0 C0 33 0 
V241 C0 C0 25 0 
V67 C0 C0 34 0 
V292 C0 C0 35 0 
V86 C0 C0 26 0 
V196 C0 C0 24 0 
V213 C0 C0 25 0 
V122 C0 C0 25 0 
V223 C0 C0 27 0 
V193 C0 C0 37 0 
V49 C0 C0 41 0 
V77 C0 C0 35 0 
V239 C0 C0 27 0 
V8 C0 C0 25 0 
V99 C0 C0 35 0 
V274 C0 C0 40 0 
V13 C0 C0 41 0 
V248 C0 C0 42 0 
V126 C0 C0 36 0 
V173 C0 C0 36 0 
V10 C0 C0 36 0 
V9 C0 C0 28 0 
V38 C0 C0 33 0 
V31 C0 C0 39 0 
V194 C0 C0 42 0 
V68 C0 C0 35 0 
V212 C0 C0 35 0 
V89 C0 C0 45 0 
V255 C0 C0 46 0 
V74 C0 C0 44 0 
V165 C0 C0 38 0 
V243 C0 C0 39 0 
V61 C0 C0 51 0 
V171 C0 C0 57 0 
V179 C0 C0 55 0 
V105 C0 C0 48 0 
V80 C0 C0 46 0 
V215 C0 C0 41 0 
V18 C0 C0 36 0 
V93 C0 C0 45 0 
V189 C0 C0 49 0 
V211 C0 C0 50 0 
V98 C0 C0 52 0 
V231 C0 C0 52 0 
V75 C0 C0 74 0 
V276 C0 C0 72 0 
V178 C0 C0 55 0 
V142 C0 C0 50 0 
V33 C0 C0 49 0 
V200 C0 C0 54 0 
V166 C0 C0 87 0 
V146 C0 C0 197 0 
V1 C0 C0 110 0 
V138 C0 C0 190 0 
V73 C0 C0 280 0 
V235 C0 C0 225 0 
V170 C0 C0 338 0 
V283 C0 C0 239 0 
V0 C0 -  - 10

Pheromones: neighbours (max = 0.000608198, min = 0.000190407):
V- -> V0 -> V180
(V0;0) (V1;0.000190407) (V2;0.000190407) (V3;0.000190407) (V4;0.000190407) (V5;0.000190407) (V6;0.000190407) (V7;0.000190407) (V8;0.000190407) (V9;0.000190407) (V10;0.000190407) (V11;0.000190407) (V12;0.000190407) (V13;0.000190407) (V14;0.000190407) (V15;0.000190407) (V16;0.000190407) (V17;0.000190407) (V18;0.000190407) (V19;0.000190407) (V20;0.000190407) (V21;0.000190407) (V22;0.000190407) (V23;0.000190407) (V24;0.000190407) (V25;0.000190407) (V26;0.000190407) (V27;0.000190407) (V28;0.000190407) (V29;0.000190407) (V30;0.000190407) (V31;0.000190407) (V32;0.000190407) (V33;0.000190407) (V34;0.000190407) (V35;0.000190407) (V36;0.000190407) (V37;0.000190407) (V38;0.000190407) (V39;0.000190407) (V40;0.000190407) (V41;0.000190407) (V42;0.000190407) (V43;0.000190407) (V44;0.000190407) (V45;0.000190407) (V46;0.000190407) (V47;0.000190407) (V48;0.000190407) (V49;0.000190407) (V50;0.000190407) (V51;0.000190407) (V52;0.000190407) (V53;0.000190407) (V54;0.000190407) (V55;0.000190407) (V56;0.000190407) (V57;0.000190407) (V58;0.000190407) (V59;0.000190407) (V60;0.000190407) (V61;0.000190407) (V62;0.000190407) (V63;0.000190407) (V64;0.000190407) (V65;0.000190407) (V66;0.000190407) (V67;0.000190407) (V68;0.000190407) (V69;0.000190407) (V70;0.000190407) (V71;0.000190407) (V72;0.000190407) (V73;0.000190407) (V74;0.000190407) (V75;0.000190407) (V76;0.000190407) (V77;0.000190407) (V78;0.000190407) (V79;0.000190407) (V80;0.000190407) (V81;0.000190407) (V82;0.000190407) (V83;0.000190407) (V84;0.000190407) (V85;0.000190407) (V86;0.000190407) (V87;0.000269121) (V88;0.000190407) (V89;0.000190407) (V90;0.000190407) (V91;0.000190407) (V92;0.000190407) (V93;0.000190407) (V94;0.000190407) (V95;0.000190407) (V96;0.000190407) (V97;0.000190407) (V98;0.000190407) (V99;0.000190407) (V100;0.000190407) (V101;0.000190407) (V102;0.000190407) (V103;0.000190407) (V104;0.000190407) (V105;0.000190407) (V106;0.000190407) (V107;0.000190407) (V108;0.000190407) (V109;0.000190407) (V110;0.000190407) (V111;0.000190407) (V112;0.000190407) (V113;0.000190407) (V114;0.000190407) (V115;0.000190407) (V116;0.000190407) (V117;0.000190407) (V118;0.000190407) (V119;0.000190407) (V120;0.000190407) (V121;0.000190407) (V122;0.000190407) (V123;0.000190407) (V124;0.000190407) (V125;0.000190407) (V126;0.000190407) (V127;0.000190407) (V128;0.000190407) (V129;0.000190407) (V130;0.000190407) (V131;0.000190407) (V132;0.000190407) (V133;0.000190407) (V134;0.000190407) (V135;0.000190407) (V136;0.000190407) (V137;0.000190407) (V138;0.000190407) (V139;0.000190407) (V140;0.000190407) (V141;0.000190407) (V142;0.000190407) (V143;0.000190407) (V144;0.000190407) (V145;0.000190407) (V146;0.000190407) (V147;0.000190407) (V148;0.000190407) (V149;0.000190407) (V150;0.000190407) (V151;0.000190407) (V152;0.000190407) (V153;0.000190407) (V154;0.000190407) (V155;0.000190407) (V156;0.000190407) (V157;0.000190407) (V158;0.000190407) (V159;0.000190407) (V160;0.000190407) (V161;0.000190407) (V162;0.000190407) (V163;0.000190407) (V164;0.000190407) (V165;0.000190407) (V166;0.000190407) (V167;0.000190407) (V168;0.000190407) (V169;0.000190407) (V170;0.000190407) (V171;0.000190407) (V172;0.000190407) (V173;0.000190407) (V174;0.000190407) (V175;0.000190407) (V176;0.000190407) (V177;0.000190407) (V178;0.000190407) (V179;0.000190407) (V180;0.000190407) (V181;0.000190407) (V182;0.000190407) (V183;0.000190407) (V184;0.000190407) (V185;0.000190407) (V186;0.000190407) (V187;0.000190407) (V188;0.000190407) (V189;0.000217019) (V190;0.000190407) (V191;0.000190407) (V192;0.000190407) (V193;0.000190407) (V194;0.000190407) (V195;0.000190407) (V196;0.000190407) (V197;0.000190407) (V198;0.000190407) (V199;0.000190407) (V200;0.000190407) (V201;0.000190407) (V202;0.000190407) (V203;0.000190407) (V204;0.000190407) (V205;0.000190407) (V206;0.000190407) (V207;0.000190407) (V208;0.000190407) (V209;0.000190407) (V210;0.000190407) (V211;0.000190407) (V212;0.000190407) (V213;0.000190407) (V214;0.000190407) (V215;0.000190407) (V216;0.000190407) (V217;0.000190407) (V218;0.000190407) (V219;0.000190407) (V220;0.000190407) (V221;0.000190407) (V222;0.000190407) (V223;0.000190407) (V224;0.000190407) (V225;0.000190407) (V226;0.000190407) (V227;0.000190407) (V228;0.000190407) (V229;0.000190407) (V230;0.000190407) (V231;0.000190407) (V232;0.000190407) (V233;0.000190407) (V234;0.000190407) (V235;0.000190407) (V236;0.000190407) (V237;0.000190407) (V238;0.000190407) (V239;0.000190407) (V240;0.000190407) (V241;0.000190407) (V242;0.000190407) (V243;0.000190407) (V244;0.000190407) (V245;0.000190407) (V246;0.000190407) (V247;0.000190407) (V248;0.000190407) (V249;0.000190407) (V250;0.000190407) (V251;0.000190407) (V252;0.000190407) (V253;0.000190407) (V254;0.000190407) (V255;0.000190407) (V256;0.000190407) (V257;0.000190407) (V258;0.000190407) (V259;0.000190407) (V260;0.000190407) (V261;0.000190407) (V262;0.000190407) (V263;0.000190407) (V264;0.000190407) (V265;0.000190407) (V266;0.000190407) (V267;0.000190407) (V268;0.000190407) (V269;0.000190407) (V270;0.000190407) (V271;0.000190407) (V272;0.000190407) (V273;0.000190407) (V274;0.000190407) (V275;0.000190407) (V276;0.000190407) (V277;0.000190407) (V278;0.000190407) (V279;0.000190407) (V280;0.000190407) (V281;0.000190407) (V282;0.000190407) (V283;0.000190407) (V284;0.000190407) (V285;0.000190407) (V286;0.000190407) (V287;0.000190407) (V288;0.000190407) (V289;0.000190407) (V290;0.000190407) (V291;0.000190407) (V292;0.000190407) (V293;0.000190407) (V294;0.000190407) (V295;0.000190407) (V296;0.000190407) (V297;0.000190407) (V298;0.000190407) (V299;0.000190407) 
V0 -> V180 -> V181
(V0;0.000190407) (V1;0.000190407) (V2;0.000190407) (V3;0.000190407) (V4;0.000190407) (V5;0.000190407) (V6;0.000190407) (V7;0.000190407) (V8;0.000190407) (V9;0.000190407) (V10;0.000190407) (V11;0.000190407) (V12;0.000190407) (V13;0.000190407) (V14;0.000190407) (V15;0.000190407) (V16;0.000190407) (V17;0.000190407) (V18;0.000190407) (V19;0.000190407) (V20;0.000190407) (V21;0.000190407) (V22;0.000190407) (V23;0.000190407) (V24;0.000190407) (V25;0.000190407) (V26;0.000190407) (V27;0.000190407) (V28;0.000190407) (V29;0.000190407) (V30;0.000190407) (V31;0.000190407) (V32;0.000190407) (V33;0.000190407) (V34;0.000190407) (V35;0.000190407) (V36;0.000190407) (V37;0.000269121) (V38;0.000190407) (V39;0.000190407) (V40;0.000190407) (V41;0.000190407) (V42;0.000190407) (V43;0.000190407) (V44;0.000190407) (V45;0.000190407) (V46;0.000190407) (V47;0.000190407) (V48;0.000190407) (V49;0.000190407) (V50;0.000190407) (V51;0.000190407) (V52;0.000190407) (V53;0.000190407) (V54;0.000190407) (V55;0.000190407) (V56;0.000190407) (V57;0.000190407) (V58;0.000190407) (V59;0.000190407) (V60;0.000190407) (V61;0.000190407) (V62;0.000190407) (V63;0.000217019) (V64;0.000190407) (V65;0.000190407) (V66;0.000190407) (V67;0.000190407) (V68;0.000190407) (V69;0.000190407) (V70;0.000190407) (V71;0.000190407) (V72;0.000190407) (V73;0.000190407) (V74;0.000190407) (V75;0.000190407) (V76;0.000190407) (V77;0.000190407) (V78;0.000190407) (V79;0.000190407) (V80;0.000190407) (V81;0.000190407) (V82;0.000190407) (V83;0.000190407) (V84;0.000190407) (V85;0.000190407) (V86;0.000190407) (V87;0.000190407) (V88;0.000190407) (V89;0.000190407) (V90;0.000190407) (V91;0.000190407) (V92;0.000190407) (V93;0.000190407) (V94;0.000190407) (V95;0.000190407) (V96;0.000190407) (V97;0.000190407) (V98;0.000190407) (V99;0.000190407) (V100;0.000190407) (V101;0.000190407) (V102;0.000190407) (V103;0.000190407) (V104;0.000190407) (V105;0.000190407) (V106;0.000190407) (V107;0.000190407) (V108;0.000190407) (V109;0.000190407) (V110;0.000190407) (V111;0.000190407) (V112;0.000190407) (V113;0.000190407) (V114;0.000190407) (V115;0.000190407) (V116;0.000190407) (V117;0.000190407) (V118;0.000190407) (V119;0.000190407) (V120;0.000190407) (V121;0.000190407) (V122;0.000190407) (V123;0.000190407) (V124;0.000190407) (V125;0.000190407) (V126;0.000190407) (V127;0.000190407) (V128;0.000190407) (V129;0.000190407) (V130;0.000190407) (V131;0.000190407) (V132;0.000190407) (V133;0.000190407) (V134;0.000190407) (V135;0.000190407) (V136;0.000190407) (V137;0.000190407) (V138;0.000190407) (V139;0.000190407) (V140;0.000190407) (V141;0.000190407) (V142;0.000190407) (V143;0.000190407) (V144;0.000190407) (V145;0.000190407) (V146;0.000190407) (V147;0.000190407) (V148;0.000190407) (V149;0.000190407) (V150;0.000190407) (V151;0.000190407) (V152;0.000190407) (V153;0.000190407) (V154;0.000190407) (V155;0.000190407) (V156;0.000190407) (V157;0.000190407) (V158;0.000190407) (V159;0.000190407) (V160;0.000190407) (V161;0.000190407) (V162;0.000190407) (V163;0.000190407) (V164;0.000190407) (V165;0.000190407) (V166;0.000190407) (V167;0.000190407) (V168;0.000190407) (V169;0.000190407) (V170;0.000190407) (V171;0.000190407) (V172;0.000190407) (V173;0.000190407) (V174;0.000190407) (V175;0.000190407) (V176;0.000190407) (V177;0.000190407) (V178;0.000190407) (V179;0.000190407) (V180;0) (V181;0.000190407) (V182;0.000190407) (V183;0.000190407) (V184;0.000190407) (V185;0.000190407) (V186;0.000190407) (V187;0.000190407) (V188;0.000190407) (V189;0.000190407) (V190;0.000190407) (V191;0.000190407) (V192;0.000190407) (V193;0.000190407) (V194;0.000190407) (V195;0.000190407) (V196;0.000190407) (V197;0.000190407) (V198;0.000190407) (V199;0.000190407) (V200;0.000190407) (V201;0.000190407) (V202;0.000190407) (V203;0.000190407) (V204;0.000190407) (V205;0.000190407) (V206;0.000190407) (V207;0.000190407) (V208;0.000190407) (V209;0.000190407) (V210;0.000190407) (V211;0.000190407) (V212;0.000190407) (V213;0.000190407) (V214;0.000190407) (V215;0.000190407) (V216;0.000190407) (V217;0.000190407) (V218;0.000190407) (V219;0.000190407) (V220;0.000190407) (V221;0.000190407) (V222;0.000190407) (V223;0.000190407) (V224;0.000190407) (V225;0.000190407) (V226;0.000190407) (V227;0.000190407) (V228;0.000190407) (V229;0.000190407) (V230;0.000190407) (V231;0.000190407) (V232;0.000190407) (V233;0.000190407) (V234;0.000190407) (V235;0.000190407) (V236;0.000190407) (V237;0.000190407) (V238;0.000190407) (V239;0.000190407) (V240;0.000190407) (V241;0.000190407) (V242;0.000190407) (V243;0.000190407) (V244;0.000190407) (V245;0.000190407) (V246;0.000190407) (V247;0.000190407) (V248;0.000190407) (V249;0.000190407) (V250;0.000190407) (V251;0.000190407) (V252;0.000190407) (V253;0.000190407) (V254;0.000190407) (V255;0.000190407) (V256;0.000190407) (V257;0.000190407) (V258;0.000190407) (V259;0.000190407) (V260;0.000190407) (V261;0.000190407) (V262;0.000190407) (V263;0.000190407) (V264;0.000190407) (V265;0.000190407) (V266;0.000190407) (V267;0.000190407) (V268;0.000190407) (V269;0.000190407) (V270;0.000190407) (V271;0.000190407) (V272;0.000190407) (V273;0.000190407) (V274;0.000190407) (V275;0.000190407) (V276;0.000190407) (V277;0.000190407) (V278;0.000190407) (V279;0.000190407) (V280;0.000190407) (V281;0.000190407) (V282;0.000190407) (V283;0.000190407) (V284;0.000190407) (V285;0.000190407) (V286;0.000190407) (V287;0.000190407) (V288;0.000190407) (V289;0.000190407) (V290;0.000190407) (V291;0.000190407) (V292;0.000190407) (V293;0.000190407) (V294;0.000190407) (V295;0.000190407) (V296;0.000190407) (V297;0.000190407) (V298;0.000190407) (V299;0.000190407) 
V180 -> V181 -> V36
(V0;0.000190407) (V1;0.000190407) (V2;0.000190407) (V3;0.000190407) (V4;0.000190407) (V5;0.000190407) (V6;0.000190407) (V7;0.000190407) (V8;0.000190407) (V9;0.000190407) (V10;0.000190407) (V11;0.000190407) (V12;0.000190407) (V13;0.000190407) (V14;0.000190407) (V15;0.000190407) (V16;0.000190407) (V17;0.000190407) (V18;0.000190407) (V19;0.000190407) (V20;0.000190407) (V21;0.000190407) (V22;0.000190407) (V23;0.000190407) (V24;0.000190407) (V25;0.000190407) (V26;0.000190407) (V27;0.000190407) (V28;0.000190407) (V29;0.000190407) (V30;0.000190407) (V31;0.000190407) (V32;0.000190407) (V33;0.000190407) (V34;0.000190407) (V35;0.000190407) (V36;0.000190407) (V37;0.000190407) (V38;0.000190407) (V39;0.000190407) (V40;0.000190407) (V41;0.000190407) (V42;0.000190407) (V43;0.000190407) (V44;0.000190407) (V45;0.000190407) (V46;0.000190407) (V47;0.000190407) (V48;0.000190407) (V49;0.000190407) (V50;0.000190407) (V51;0.000190407) (V52;0.000190407) (V53;0.000190407) (V54;0.000190407) (V55;0.000190407) (V56;0.000190407) (V57;0.000190407) (V58;0.000190407) (V59;0.000190407) (V60;0.000190407) (V61;0.000190407) (V62;0.000190407) (V63;0.000190407) (V64;0.000190407) (V65;0.000190407) (V66;0.000190407) (V67;0.000190407) (V68;0.000190407) (V69;0.000190407) (V70;0.000190407) (V71;0.000190407) (V72;0.000190407) (V73;0.000190407) (V74;0.000190407) (V75;0.000190407) (V76;0.000217019) (V77;0.000190407) (V78;0.000190407) (V79;0.000190407) (V80;0.000190407) (V81;0.000190407) (V82;0.000190407) (V83;0.000190407) (V84;0.000190407) (V85;0.000190407) (V86;0.000190407) (V87;0.000190407) (V88;0.000190407) (V89;0.000190407) (V90;0.000190407) (V91;0.000190407) (V92;0.000190407) (V93;0.000190407) (V94;0.000190407) (V95;0.000190407) (V96;0.000190407) (V97;0.000190407) (V98;0.000190407) (V99;0.000190407) (V100;0.000190407) (V101;0.000190407) (V102;0.000190407) (V103;0.000190407) (V104;0.000190407) (V105;0.000190407) (V106;0.000190407) (V107;0.000190407) (V108;0.000190407) (V109;0.000190407) (V110;0.000190407) (V111;0.000190407) (V112;0.000190407) (V113;0.000190407) (V114;0.000190407) (V115;0.000190407) (V116;0.000190407) (V117;0.000190407) (V118;0.000190407) (V119;0.000190407) (V120;0.000190407) (V121;0.000269121) (V122;0.000190407) (V123;0.000190407) (V124;0.000190407) (V125;0.000190407) (V126;0.000190407) (V127;0.000190407) (V128;0.000190407) (V129;0.000190407) (V130;0.000190407) (V131;0.000190407) (V132;0.000190407) (V133;0.000190407) (V134;0.000190407) (V135;0.000190407) (V136;0.000190407) (V137;0.000190407) (V138;0.000190407) (V139;0.000190407) (V140;0.000190407) (V141;0.000190407) (V142;0.000190407) (V143;0.000190407) (V144;0.000190407) (V145;0.000190407) (V146;0.000190407) (V147;0.000190407) (V148;0.000190407) (V149;0.000190407) (V150;0.000190407) (V151;0.000190407) (V152;0.000190407) (V153;0.000190407) (V154;0.000190407) (V155;0.000190407) (V156;0.000190407) (V157;0.000190407) (V158;0.000190407) (V159;0.000190407) (V160;0.000190407) (V161;0.000190407) (V162;0.000190407) (V163;0.000190407) (V164;0.000190407) (V165;0.000190407) (V166;0.000190407) (V167;0.000190407) (V168;0.000190407) (V169;0.000190407) (V170;0.000190407) (V171;0.000190407) (V172;0.000190407) (V173;0.000190407) (V174;0.000190407) (V175;0.000190407) (V176;0.000190407) (V177;0.000190407) (V178;0.000190407) (V179;0.000190407) (V180;0.000190407) (V181;0) (V182;0.000190407) (V183;0.000190407) (V184;0.000190407) (V185;0.000190407) (V186;0.000190407) (V187;0.000190407) (V188;0.000190407) (V189;0.000190407) (V190;0.000190407) (V191;0.000190407) (V192;0.000190407) (V193;0.000190407) (V194;0.000190407) (V195;0.000190407) (V196;0.000190407) (V197;0.000190407) (V198;0.000190407) (V199;0.000190407) (V200;0.000190407) (V201;0.000190407) (V202;0.000190407) (V203;0.000190407) (V204;0.000190407) (V205;0.000190407) (V206;0.000190407) (V207;0.000190407) (V208;0.000190407) (V209;0.000190407) (V210;0.000190407) (V211;0.000190407) (V212;0.000190407) (V213;0.000190407) (V214;0.000190407) (V215;0.000190407) (V216;0.000190407) (V217;0.000190407) (V218;0.000190407) (V219;0.000190407) (V220;0.000190407) (V221;0.000190407) (V222;0.000190407) (V223;0.000190407) (V224;0.000190407) (V225;0.000190407) (V226;0.000190407) (V227;0.000190407) (V228;0.000190407) (V229;0.000190407) (V230;0.000190407) (V231;0.000190407) (V232;0.000190407) (V233;0.000190407) (V234;0.000190407) (V235;0.000190407) (V236;0.000190407) (V237;0.000190407) (V238;0.000190407) (V239;0.000190407) (V240;0.000190407) (V241;0.000190407) (V242;0.000190407) (V243;0.000190407) (V244;0.000190407) (V245;0.000190407) (V246;0.000190407) (V247;0.000190407) (V248;0.000190407) (V249;0.000190407) (V250;0.000190407) (V251;0.000190407) (V252;0.000190407) (V253;0.000190407) (V254;0.000190407) (V255;0.000190407) (V256;0.000190407) (V257;0.000190407) (V258;0.000190407) (V259;0.000190407) (V260;0.000190407) (V261;0.000190407) (V262;0.000190407) (V263;0.000190407) (V264;0.000190407) (V265;0.000190407) (V266;0.000190407) (V267;0.000190407) (V268;0.000190407) (V269;0.000190407) (V270;0.000190407) (V271;0.000190407) (V272;0.000190407) (V273;0.000190407) (V274;0.000190407) (V275;0.000190407) (V276;0.000190407) (V277;0.000190407) (V278;0.000190407) (V279;0.000190407) (V280;0.000190407) (V281;0.000190407) (V282;0.000190407) (V283;0.000190407) (V284;0.000190407) (V285;0.000190407) (V286;0.000190407) (V287;0.000190407) (V288;0.000190407) (V289;0.000190407) (V290;0.000190407) (V291;0.000190407) (V292;0.000190407) (V293;0.000190407) (V294;0.000190407) (V295;0.000190407) (V296;0.000190407) (V297;0.000190407) (V298;0.000190407) (V299;0.000190407) 
V181 -> V36 -> V192
