Best: iteration: 15, time: 18.0306, start node: V0, cost non-opt: 8076, opt: -1
Nodes (name, car in, car out, arc cost, car return cost, passengers, passPrice): 
V0 C- C0 12 0 
V169 C3 C3 18 0 
V240 C3 C3 18 0 
V204 C3 C3 36 0 
V198 C3 C3 42 0 
V149 C3 C3 20 0 
V249 C3 C3 22 0 
V296 C3 C3 24 0 
V162 C3 C3 31 0 
V103 C3 C3 18 0 
V153 C3 C3 20 0 
V84 C3 C3 23 0 
V226 C3 C3 25 0 
V248 C3 C3 30 0 
V109 C3 C3 42 0 
V54 C3 C3 41 0 
V217 C3 C3 38 0 
V174 C3 C3 34 0 
V257 C3 C3 28 0 
V113 C3 C3 34 0 
V104 C3 C3 48 0 
V256 C3 C3 49 0 
V102 C3 C3 31 0 
V222 C3 C3 42 0 
V236 C3 C3 30 0 
V284 C3 C3 28 0 
V1 C3 C3 17 0 
V124 C3 C3 21 0 
V100 C3 C3 51 0 
V63 C3 C3 32 0 
V210 C3 C3 24 0 
V173 C3 C3 26 0 
V93 C3 C3 26 0 
V12 C3 C3 38 0 
V254 C3 C3 36 0 
V264 C3 C3 28 0 
V37 C3 C3 19 0 
V252 C3 C3 21 0 
V119 C3 C3 31 0 
V167 C3 C3 37 0 
V94 C3 C3 45 0 
V233 C3 C3 40 0 
V139 C3 C3 34 0 
V49 C3 C3 29 0 
V74 C3 C3 29 0 
V212 C3 C3 28 0 
V193 C3 C3 27 0 
V34 C3 C3 28 0 
V11 C3 C3 44 0 
V142 C3 C3 39 0 
V161 C3 C3 34 0 
V138 C3 C3 27 0 
V19 C3 C3 33 0 
V95 C3 C3 35 0 
V83 C3 C3 39 0 
V271 C3 C3 35 0 
V151 C3 C3 30 0 
V183 C3 C3 21 0 
V201 C3 C3 22 0 
V69 C3 C3 26 0 
V91 C3 C3 24 0 
V86 C3 C3 34 0 
V2 C3 C3 30 0 
V14 C3 C3 32 0 
V175 C3 C3 39 0 
V230 C3 C3 43 0 
V108 C3 C3 43 0 
V99 C3 C3 38 0 
V179 C3 C3 36 0 
V66 C3 C3 44 0 
V292 C3 C3 45 0 
V40 C3 C3 24 0 
V89 C3 C3 33 0 
V96 C3 C3 29 0 
V114 C3 C3 26 0 
V44 C3 C3 27 0 
V32 C3 C3 25 0 
V21 C3 C3 38 0 
V47 C3 C3 41 0 
V58 C3 C3 30 0 
V60 C3 C3 41 0 
V166 C3 C3 40 0 
V214 C3 C3 38 0 
V75 C3 C3 43 0 
V152 C3 C3 41 0 
V245 C3 C3 41 0 
V255 C3 C3 40 0 
V213 C3 C3 38 0 
V244 C3 C3 51 0 
V290 C3 C3 50 0 
V184 C3 C3 50 0 
V82 C3 C3 42 0 
V105 C3 C3 37 0 
V51 C3 C3 43 0 
V53 C3 C3 42 0 
V123 C3 C3 32 0 
V285 C3 C3 31 0 
V228 C3 C3 39 0 
V159 C3 C3 43 0 
V62 C3 C3 55 0 
V253 C3 C3 61 0 
V156 C3 C3 54 0 
V287 C3 C3 54 0 
V130 C3 C3 57 0 
V136 C3 C3 40 0 
V297 C3 C3 37 0 
V28 C3 C3 47 0 
V205 C3 C3 52 0 
V131 C3 C3 47 0 
V196 C3 C3 43 0 
V120 C3 C3 53 0 
V200 C3 C3 55 0 
V67 C3 C3 48 0 
V35 C3 C3 43 0 
V42 C3 C3 51 0 
V206 C3 C3 49 0 
V101 C3 C3 43 0 
V268 C3 C3 47 0 
V157 C3 C3 121 0 
V25 C3 C3 123 0 
V77 C3 C3 96 0 
V150 C3 C3 127 0 
V85 C3 C3 222 0 
V64 C3 C3 194 0 
V241 C3 C3 296 0 
V281 C3 C3 258 0 
V0 C3 -  - 8

Pheromones: neighbours (max = 0.000604522, min = 0.000604522):
V- -> V0 -> V270
(V0;0) (V1;0.000604522) (V2;0.000604522) (V3;0.000604522) (V4;0.000604522) (V5;0.000604522) (V6;0.000604522) (V7;0.000604522) (V8;0.000604522) (V9;0.000604522) (V10;0.000604522) (V11;0.000604522) (V12;0.000604522) (V13;0.000604522) (V14;0.000604522) (V15;0.000604522) (V16;0.000604522) (V17;0.000604522) (V18;0.000604522) (V19;0.000604522) (V20;0.000604522) (V21;0.000604522) (V22;0.000604522) (V23;0.000604522) (V24;0.000604522) (V25;0.000604522) (V26;0.000604522) (V27;0.000604522) (V28;0.000604522) (V29;0.000604522) (V30;0.000604522) (V31;0.000604522) (V32;0.000604522) (V33;0.000604522) (V34;0.000604522) (V35;0.000604522) (V36;0.000604522) (V37;0.000604522) (V38;0.000604522) (V39;0.000604522) (V40;0.000604522) (V41;0.000604522) (V42;0.000604522) (V43;0.000604522) (V44;0.000604522) (V45;0.000604522) (V46;0.000604522) (V47;0.000604522) (V48;0.000604522) (V49;0.000604522) (V50;0.000604522) (V51;0.000604522) (V52;0.000604522) (V53;0.000604522) (V54;0.000604522) (V55;0.000604522) (V56;0.000604522) (V57;0.000604522) (V58;0.000604522) (V59;0.000604522) (V60;0.000604522) (V61;0.000604522) (V62;0.000604522) (V63;0.000604522) (V64;0.000604522) (V65;0.000604522) (V66;0.000604522) (V67;0.000604522) (V68;0.000604522) (V69;0.000604522) (V70;0.000604522) (V71;0.000604522) (V72;0.000604522) (V73;0.000604522) (V74;0.000604522) (V75;0.000604522) (V76;0.000604522) (V77;0.000604522) (V78;0.000604522) (V79;0.000604522) (V80;0.000604522) (V81;0.000604522) (V82;0.000604522) (V83;0.000604522) (V84;0.000604522) (V85;0.000604522) (V86;0.000604522) (V87;0.000604522) (V88;0.000604522) (V89;0.000604522) (V90;0.000604522) (V91;0.000604522) (V92;0.000604522) (V93;0.000604522) (V94;0.000604522) (V95;0.000604522) (V96;0.000604522) (V97;0.000604522) (V98;0.000604522) (V99;0.000604522) (V100;0.000604522) (V101;0.000604522) (V102;0.000604522) (V103;0.000604522) (V104;0.000604522) (V105;0.000604522) (V106;0.000604522) (V107;0.000604522) (V108;0.000604522) (V109;0.000604522) (V110;0.000604522) (V111;0.000604522) (V112;0.000604522) (V113;0.000604522) (V114;0.000604522) (V115;0.000604522) (V116;0.000604522) (V117;0.000604522) (V118;0.000604522) (V119;0.000604522) (V120;0.000604522) (V121;0.000604522) (V122;0.000604522) (V123;0.000604522) (V124;0.000604522) (V125;0.000604522) (V126;0.000604522) (V127;0.000604522) (V128;0.000604522) (V129;0.000604522) (V130;0.000604522) (V131;0.000604522) (V132;0.000604522) (V133;0.000604522) (V134;0.000604522) (V135;0.000604522) (V136;0.000604522) (V137;0.000604522) (V138;0.000604522) (V139;0.000604522) (V140;0.000604522) (V141;0.000604522) (V142;0.000604522) (V143;0.000604522) (V144;0.000604522) (V145;0.000604522) (V146;0.000604522) (V147;0.000604522) (V148;0.000604522) (V149;0.000604522) (V150;0.000604522) (V151;0.000604522) (V152;0.000604522) (V153;0.000604522) (V154;0.000604522) (V155;0.000604522) (V156;0.000604522) (V157;0.000604522) (V158;0.000604522) (V159;0.000604522) (V160;0.000604522) (V161;0.000604522) (V162;0.000604522) (V163;0.000604522) (V164;0.000604522) (V165;0.000604522) (V166;0.000604522) (V167;0.000604522) (V168;0.000604522) (V169;0.000604522) (V170;0.000604522) (V171;0.000604522) (V172;0.000604522) (V173;0.000604522) (V174;0.000604522) (V175;0.000604522) (V176;0.000604522) (V177;0.000604522) (V178;0.000604522) (V179;0.000604522) (V180;0.000604522) (V181;0.000604522) (V182;0.000604522) (V183;0.000604522) (V184;0.000604522) (V185;0.000604522) (V186;0.000604522) (V187;0.000604522) (V188;0.000604522) (V189;0.000604522) (V190;0.000604522) (V191;0.000604522) (V192;0.000604522) (V193;0.000604522) (V194;0.000604522) (V195;0.000604522) (V196;0.000604522) (V197;0.000604522) (V198;0.000604522) (V199;0.000604522) (V200;0.000604522) (V201;0.000604522) (V202;0.000604522) (V203;0.000604522) (V204;0.000604522) (V205;0.000604522) (V206;0.000604522) (V207;0.000604522) (V208;0.000604522) (V209;0.000604522) (V210;0.000604522) (V211;0.000604522) (V212;0.000604522) (V213;0.000604522) (V214;0.000604522) (V215;0.000604522) (V216;0.000604522) (V217;0.000604522) (V218;0.000604522) (V219;0.000604522) (V220;0.000604522) (V221;0.000604522) (V222;0.000604522) (V223;0.000604522) (V224;0.000604522) (V225;0.000604522) (V226;0.000604522) (V227;0.000604522) (V228;0.000604522) (V229;0.000604522) (V230;0.000604522) (V231;0.000604522) (V232;0.000604522) (V233;0.000604522) (V234;0.000604522) (V235;0.000604522) (V236;0.000604522) (V237;0.000604522) (V238;0.000604522) (V239;0.000604522) (V240;0.000604522) (V241;0.000604522) (V242;0.000604522) (V243;0.000604522) (V244;0.000604522) (V245;0.000604522) (V246;0.000604522) (V247;0.000604522) (V248;0.000604522) (V249;0.000604522) (V250;0.000604522) (V251;0.000604522) (V252;0.000604522) (V253;0.000604522) (V254;0.000604522) (V255;0.000604522) (V256;0.000604522) (V257;0.000604522) (V258;0.000604522) (V259;0.000604522) (V260;0.000604522) (V261;0.000604522) (V262;0.000604522) (V263;0.000604522) (V264;0.000604522) (V265;0.000604522) (V266;0.000604522) (V267;0.000604522) (V268;0.000604522) (V269;0.000604522) (V270;0.000604522) (V271;0.000604522) (V272;0.000604522) (V273;0.000604522) (V274;0.000604522) (V275;0.000604522) (V276;0.000604522) (V277;0.000604522) (V278;0.000604522) (V279;0.000604522) (V280;0.000604522) (V281;0.000604522) (V282;0.000604522) (V283;0.000604522) (V284;0.000604522) (V285;0.000604522) (V286;0.000604522) (V287;0.000604522) (V288;0.000604522) (V289;0.000604522) (V290;0.000604522) (V291;0.000604522) (V292;0.000604522) (V293;0.000604522) (V294;0.000604522) (V295;0.000604522) (V296;0.000604522) (V297;0.000604522) (V298;0.000604522) (V299;0.000604522) 
V0 -> V270 -> V218
(V0;0.000604522) (V1;0.000604522) (V2;0.000604522) (V3;0.000604522) (V4;0.000604522) (V5;0.000604522) (V6;0.000604522) (V7;0.000604522) (V8;0.000604522) (V9;0.000604522) (V10;0.000604522) (V11;0.000604522) (V12;0.000604522) (V13;0.000604522) (V14;0.000604522) (V15;0.000604522) (V16;0.000604522) (V17;0.000604522) (V18;0.000604522) (V19;0.000604522) (V20;0.000604522) (V21;0.000604522) (V22;0.000604522) (V23;0.000604522) (V24;0.000604522) (V25;0.000604522) (V26;0.000604522) (V27;0.000604522) (V28;0.000604522) (V29;0.000604522) (V30;0.000604522) (V31;0.000604522) (V32;0.000604522) (V33;0.000604522) (V34;0.000604522) (V35;0.000604522) (V36;0.000604522) (V37;0.000604522) (V38;0.000604522) (V39;0.000604522) (V40;0.000604522) (V41;0.000604522) (V42;0.000604522) (V43;0.000604522) (V44;0.000604522) (V45;0.000604522) (V46;0.000604522) (V47;0.000604522) (V48;0.000604522) (V49;0.000604522) (V50;0.000604522) (V51;0.000604522) (V52;0.000604522) (V53;0.000604522) (V54;0.000604522) (V55;0.000604522) (V56;0.000604522) (V57;0.000604522) (V58;0.000604522) (V59;0.000604522) (V60;0.000604522) (V61;0.000604522) (V62;0.000604522) (V63;0.000604522) (V64;0.000604522) (V65;0.000604522) (V66;0.000604522) (V67;0.000604522) (V68;0.000604522) (V69;0.000604522) (V70;0.000604522) (V71;0.000604522) (V72;0.000604522) (V73;0.000604522) (V74;0.000604522) (V75;0.000604522) (V76;0.000604522) (V77;0.000604522) (V78;0.000604522) (V79;0.000604522) (V80;0.000604522) (V81;0.000604522) (V82;0.000604522) (V83;0.000604522) (V84;0.000604522) (V85;0.000604522) (V86;0.000604522) (V87;0.000604522) (V88;0.000604522) (V89;0.000604522) (V90;0.000604522) (V91;0.000604522) (V92;0.000604522) (V93;0.000604522) (V94;0.000604522) (V95;0.000604522) (V96;0.000604522) (V97;0.000604522) (V98;0.000604522) (V99;0.000604522) (V100;0.000604522) (V101;0.000604522) (V102;0.000604522) (V103;0.000604522) (V104;0.000604522) (V105;0.000604522) (V106;0.000604522) (V107;0.000604522) (V108;0.000604522) (V109;0.000604522) (V110;0.000604522) (V111;0.000604522) (V112;0.000604522) (V113;0.000604522) (V114;0.000604522) (V115;0.000604522) (V116;0.000604522) (V117;0.000604522) (V118;0.000604522) (V119;0.000604522) (V120;0.000604522) (V121;0.000604522) (V122;0.000604522) (V123;0.000604522) (V124;0.000604522) (V125;0.000604522) (V126;0.000604522) (V127;0.000604522) (V128;0.000604522) (V129;0.000604522) (V130;0.000604522) (V131;0.000604522) (V132;0.000604522) (V133;0.000604522) (V134;0.000604522) (V135;0.000604522) (V136;0.000604522) (V137;0.000604522) (V138;0.000604522) (V139;0.000604522) (V140;0.000604522) (V141;0.000604522) (V142;0.000604522) (V143;0.000604522) (V144;0.000604522) (V145;0.000604522) (V146;0.000604522) (V147;0.000604522) (V148;0.000604522) (V149;0.000604522) (V150;0.000604522) (V151;0.000604522) (V152;0.000604522) (V153;0.000604522) (V154;0.000604522) (V155;0.000604522) (V156;0.000604522) (V157;0.000604522) (V158;0.000604522) (V159;0.000604522) (V160;0.000604522) (V161;0.000604522) (V162;0.000604522) (V163;0.000604522) (V164;0.000604522) (V165;0.000604522) (V166;0.000604522) (V167;0.000604522) (V168;0.000604522) (V169;0.000604522) (V170;0.000604522) (V171;0.000604522) (V172;0.000604522) (V173;0.000604522) (V174;0.000604522) (V175;0.000604522) (V176;0.000604522) (V177;0.000604522) (V178;0.000604522) (V179;0.000604522) (V180;0.000604522) (V181;0.000604522) (V182;0.000604522) (V183;0.000604522) (V184;0.000604522) (V185;0.000604522) (V186;0.000604522) (V187;0.000604522) (V188;0.000604522) (V189;0.000604522) (V190;0.000604522) (V191;0.000604522) (V192;0.000604522) (V193;0.000604522) (V194;0.000604522) (V195;0.000604522) (V196;0.000604522) (V197;0.000604522) (V198;0.000604522) (V199;0.000604522) (V200;0.000604522) (V201;0.000604522) (V202;0.000604522) (V203;0.000604522) (V204;0.000604522) (V205;0.000604522) (V206;0.000604522) (V207;0.000604522) (V208;0.000604522) (V209;0.000604522) (V210;0.000604522) (V211;0.000604522) (V212;0.000604522) (V213;0.000604522) (V214;0.000604522) (V215;0.000604522) (V216;0.000604522) (V217;0.000604522) (V218;0.000604522) (V219;0.000604522) (V220;0.000604522) (V221;0.000604522) (V222;0.000604522) (V223;0.000604522) (V224;0.000604522) (V225;0.000604522) (V226;0.000604522) (V227;0.000604522) (V228;0.000604522) (V229;0.000604522) (V230;0.000604522) (V231;0.000604522) (V232;0.000604522) (V233;0.000604522) (V234;0.000604522) (V235;0.000604522) (V236;0.000604522) (V237;0.000604522) (V238;0.000604522) (V239;0.000604522) (V240;0.000604522) (V241;0.000604522) (V242;0.000604522) (V243;0.000604522) (V244;0.000604522) (V245;0.000604522) (V246;0.000604522) (V247;0.000604522) (V248;0.000604522) (V249;0.000604522) (V250;0.000604522) (V251;0.000604522) (V252;0.000604522) (V253;0.000604522) (V254;0.000604522) (V255;0.000604522) (V256;0.000604522) (V257;0.000604522) (V258;0.000604522) (V259;0.000604522) (V260;0.000604522) (V261;0.000604522) (V262;0.000604522) (V263;0.000604522) (V264;0.000604522) (V265;0.000604522) (V266;0.000604522) (V267;0.000604522) (V268;0.000604522) (V269;0.000604522) (V270;0) (V271;0.000604522) (V272;0.000604522) (V273;0.000604522) (V274;0.000604522) (V275;0.000604522) (V276;0.000604522) (V277;0.000604522) (V278;0.000604522) (V279;0.000604522) (V280;0.000604522) (V281;0.000604522) (V282;0.000604522) (V283;0.000604522) (V284;0.000604522) (V285;0.000604522) (V286;0.000604522) (V287;0.000604522) (V288;0.000604522) (V289;0.000604522) (V290;0.000604522) (V291;0.000604522) (V292;0.000604522) (V293;0.000604522) (V294;0.000604522) (V295;0.000604522) (V296;0.000604522) (V297;0.000604522) (V298;0.000604522) (V299;0.000604522) 
V270 -> V218 -> V298
(V0;0.000604522) (V1;0.000604522) (V2;0.000604522) (V3;0.000604522) (V4;0.000604522) (V5;0.000604522) (V6;0.000604522) (V7;0.000604522) (V8;0.000604522) (V9;0.000604522) (V10;0.000604522) (V11;0.000604522) (V12;0.000604522) (V13;0.000604522) (V14;0.000604522) (V15;0.000604522) (V16;0.000604522) (V17;0.000604522) (V18;0.000604522) (V19;0.000604522) (V20;0.000604522) (V21;0.000604522) (V22;0.000604522) (V23;0.000604522) (V24;0.000604522) (V25;0.000604522) (V26;0.000604522) (V27;0.000604522) (V28;0.000604522) (V29;0.000604522) (V30;0.000604522) (V31;0.000604522) (V32;0.000604522) (V33;0.000604522) (V34;0.000604522) (V35;0.000604522) (V36;0.000604522) (V37;0.000604522) (V38;0.000604522) (V39;0.000604522) (V40;0.000604522) (V41;0.000604522) (V42;0.000604522) (V43;0.000604522) (V44;0.000604522) (V45;0.000604522) (V46;0.000604522) (V47;0.000604522) (V48;0.000604522) (V49;0.000604522) (V50;0.000604522) (V51;0.000604522) (V52;0.000604522) (V53;0.000604522) (V54;0.000604522) (V55;0.000604522) (V56;0.000604522) (V57;0.000604522) (V58;0.000604522) (V59;0.000604522) (V60;0.000604522) (V61;0.000604522) (V62;0.000604522) (V63;0.000604522) (V64;0.000604522) (V65;0.000604522) (V66;0.000604522) (V67;0.000604522) (V68;0.000604522) (V69;0.000604522) (V70;0.000604522) (V71;0.000604522) (V72;0.000604522) (V73;0.000604522) (V74;0.000604522) (V75;0.000604522) (V76;0.000604522) (V77;0.000604522) (V78;0.000604522) (V79;0.000604522) (V80;0.000604522) (V81;0.000604522) (V82;0.000604522) (V83;0.000604522) (V84;0.000604522) (V85;0.000604522) (V86;0.000604522) (V87;0.000604522) (V88;0.000604522) (V89;0.000604522) (V90;0.000604522) (V91;0.000604522) (V92;0.000604522) (V93;0.000604522) (V94;0.000604522) (V95;0.000604522) (V96;0.000604522) (V97;0.000604522) (V98;0.000604522) (V99;0.000604522) (V100;0.000604522) (V101;0.000604522) (V102;0.000604522) (V103;0.000604522) (V104;0.000604522) (V105;0.000604522) (V106;0.000604522) (V107;0.000604522) (V108;0.000604522) (V109;0.000604522) (V110;0.000604522) (V111;0.000604522) (V112;0.000604522) (V113;0.000604522) (V114;0.000604522) (V115;0.000604522) (V116;0.000604522) (V117;0.000604522) (V118;0.000604522) (V119;0.000604522) (V120;0.000604522) (V121;0.000604522) (V122;0.000604522) (V123;0.000604522) (V124;0.000604522) (V125;0.000604522) (V126;0.000604522) (V127;0.000604522) (V128;0.000604522) (V129;0.000604522) (V130;0.000604522) (V131;0.000604522) (V132;0.000604522) (V133;0.000604522) (V134;0.000604522) (V135;0.000604522) (V136;0.000604522) (V137;0.000604522) (V138;0.000604522) (V139;0.000604522) (V140;0.000604522) (V141;0.000604522) (V142;0.000604522) (V143;0.000604522) (V144;0.000604522) (V145;0.000604522) (V146;0.000604522) (V147;0.000604522) (V148;0.000604522) (V149;0.000604522) (V150;0.000604522) (V151;0.000604522) (V152;0.000604522) (V153;0.000604522) (V154;0.000604522) (V155;0.000604522) (V156;0.000604522) (V157;0.000604522) (V158;0.000604522) (V159;0.000604522) (V160;0.000604522) (V161;0.000604522) (V162;0.000604522) (V163;0.000604522) (V164;0.000604522) (V165;0.000604522) (V166;0.000604522) (V167;0.000604522) (V168;0.000604522) (V169;0.000604522) (V170;0.000604522) (V171;0.000604522) (V172;0.000604522) (V173;0.000604522) (V174;0.000604522) (V175;0.000604522) (V176;0.000604522) (V177;0.000604522) (V178;0.000604522) (V179;0.000604522) (V180;0.000604522) (V181;0.000604522) (V182;0.000604522) (V183;0.000604522) (V184;0.000604522) (V185;0.000604522) (V186;0.000604522) (V187;0.000604522) (V188;0.000604522) (V189;0.000604522) (V190;0.000604522) (V191;0.000604522) (V192;0.000604522) (V193;0.000604522) (V194;0.000604522) (V195;0.000604522) (V196;0.000604522) (V197;0.000604522) (V198;0.000604522) (V199;0.000604522) (V200;0.000604522) (V201;0.000604522) (V202;0.000604522) (V203;0.000604522) (V204;0.000604522) (V205;0.000604522) (V206;0.000604522) (V207;0.000604522) (V208;0.000604522) (V209;0.000604522) (V210;0.000604522) (V211;0.000604522) (V212;0.000604522) (V213;0.000604522) (V214;0.000604522) (V215;0.000604522) (V216;0.000604522) (V217;0.000604522) (V218;0) (V219;0.000604522) (V220;0.000604522) (V221;0.000604522) (V222;0.000604522) (V223;0.000604522) (V224;0.000604522) (V225;0.000604522) (V226;0.000604522) (V227;0.000604522) (V228;0.000604522) (V229;0.000604522) (V230;0.000604522) (V231;0.000604522) (V232;0.000604522) (V233;0.000604522) (V234;0.000604522) (V235;0.000604522) (V236;0.000604522) (V237;0.000604522) (V238;0.000604522) (V239;0.000604522) (V240;0.000604522) (V241;0.000604522) (V242;0.000604522) (V243;0.000604522) (V244;0.000604522) (V245;0.000604522) (V246;0.000604522) (V247;0.000604522) (V248;0.000604522) (V249;0.000604522) (V250;0.000604522) (V251;0.000604522) (V252;0.000604522) (V253;0.000604522) (V254;0.000604522) (V255;0.000604522) (V256;0.000604522) (V257;0.000604522) (V258;0.000604522) (V259;0.000604522) (V260;0.000604522) (V261;0.000604522) (V262;0.000604522) (V263;0.000604522) (V264;0.000604522) (V265;0.000604522) (V266;0.000604522) (V267;0.000604522) (V268;0.000604522) (V269;0.000604522) (V270;0.000604522) (V271;0.000604522) (V272;0.000604522) (V273;0.000604522) (V274;0.000604522) (V275;0.000604522) (V276;0.000604522) (V277;0.000604522) (V278;0.000604522) (V279;0.000604522) (V280;0.000604522) (V281;0.000604522) (V282;0.000604522) (V283;0.000604522) (V284;0.000604522) (V285;0.000604522) (V286;0.000604522) (V287;0.000604522) (V288;0.000604522) (V289;0.000604522) (V290;0.000604522) (V291;0.000604522) (V292;0.000604522) (V293;0.000604522) (V294;0.000604522) (V295;0.000604522) (V296;0.000604522) (V297;0.000604522) (V298;0.000604522) (V299;0.000604522) 
V218 -> V298 -> V33
